Date,BTC_USDT_Price,ETH_USDT_Price,BTC_Amount,ETH_Amount
2024/10/4 00:32,60747,2347.74,1e-05,0.014975
2024/10/4 00:32,60747.1,2347.73,0.00357066,0.0001
2024/10/4 00:32,60747.1,2347.73,0,0
2024/10/4 00:32,60747.1,2347.73,0.0167377,0
2024/10/4 00:32,60747.5,2347.96,0.00471008,0.004359
2024/10/4 00:32,60750,2347.96,0.00343752,0
2024/10/4 00:32,60748.5,2347.97,1e-05,0.0097
2024/10/4 00:32,60748.5,2347.97,0,0
2024/10/4 00:32,60748.5,2347.62,0,0.0001
2024/10/4 00:32,60748.5,2347.62,0,0
2024/10/4 00:32,60749,2347.62,0.01153282,0
2024/10/4 00:32,60749,2347.62,0,0
2024/10/4 00:32,60749,2347.62,0.00026119,0
2024/10/4 00:32,60747.4,2347.62,1.35564915,0.128
2024/10/4 00:32,60738.1,2347.39,0.00561285,0.0002
2024/10/4 00:32,60738.1,2347.16,0,0.005
2024/10/4 00:32,60738.1,2347.15,0,1.278316
2024/10/4 00:32,60738.1,2347.15,0,0
2024/10/4 00:32,60738.1,2347.31,0,0.0001
2024/10/4 00:32,60746.4,2347.29,0.00520986,0.1278
2024/10/4 00:32,60746.4,2347.38,0,0.0004
2024/10/4 00:32,60746.4,2347.48,0,0.0001
2024/10/4 00:32,60751.9,2347.72,1.6307995,15.699496
2024/10/4 00:32,60734.5,2347.49,0.37981989,0.052961
2024/10/4 00:32,60743.6,2347.85,0.00076522,0.0001
2024/10/4 00:33,60749.1,2347.86,0.00727954,0.0002
2024/10/4 00:33,60740.1,2347.72,0.00295272,0.0002
2024/10/4 00:33,60738.4,2347.62,0.56328264,0.00486
2024/10/4 00:33,60731.5,2347.02,0.02804166,3.02206
2024/10/4 00:33,60730.1,2346.92,0.00011507,0.0001
2024/10/4 00:33,60730,2346.84,1e-05,0.0001
2024/10/4 00:33,60730,2346.84,0,0
2024/10/4 00:33,60730.1,2346.84,0.00495771,0
2024/10/4 00:33,60730,2346.85,0.00469444,0.000526
2024/10/4 00:33,60730,2346.91,0,0.0001
2024/10/4 00:33,60731,2347.02,0.00160712,0.0002
2024/10/4 00:33,60730,2347.13,0.00021077,2.961131
2024/10/4 00:33,60730,2347,0.041082,0.0001
2024/10/4 00:33,60722.1,2346.84,0.03660355,3.803045
2024/10/4 00:33,60701.2,2345.64,0.01131254,8.719991
2024/10/4 00:33,60679.9,2344.52,0.03386662,2.231343
2024/10/4 00:33,60680,2344.56,0.00418179,0.0004
2024/10/4 00:33,60698.2,2344.91,0.00311266,0.320459
2024/10/4 00:33,60701.9,2345.45,0.00060437,5.109349
2024/10/4 00:33,60701.9,2345.45,8.232e-05,0
2024/10/4 00:48,60621.8,2345.39,0.01708434,0.0002
2024/10/4 00:48,60621.8,2345.39,0,0
2024/10/4 00:48,60621.8,2345.39,0,0
2024/10/4 00:48,60621.8,2345.39,0,0
2024/10/4 00:48,60631.3,2345.5,0.01071866,0.0003
2024/10/4 00:48,60631.3,2345.5,0,0
2024/10/4 00:48,60637,2345.73,0.00034807,0.905772
2024/10/4 00:48,60637,2345.99,0,0.00213
